id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
41,0.238938053,0.226027397,0.36,0.342465753,0.103505843,0.154929577,0.286219081,0.567547724,0.464566929,0.299401198,0.323076923
42,0.371681416,0.335616438,0.3,0.130136986,0.12687813,0.225352113,0.141342756,0.552863436,0.409448819,0.107784431,0.138461538
43,0.256637168,0.253424658,0.2,0.116438356,0.534223706,0.098591549,0.028268551,0.494126285,0.37007874,0.341317365,0.323076923
44,0.309734513,0.369863014,0.22,0.089041096,0.095158598,0.112676056,0.060070671,0.494126285,0.440944882,0.520958084,0.292307692
45,0.194690265,0.376712329,0.02,0.061643836,0.063439065,0.056338028,0.017667845,0.450073421,0.582677165,0.113772455,0.169230769
46,0,0.273972603,0.15,0.082191781,0.070116861,0.098591549,0.208480565,0.244493392,0.913385827,0.137724551,0.723076923
47,0.274336283,0.558219178,0.43,0.089041096,0.170283806,0.295774648,0.381625442,0.508810573,0.401574803,0.239520958,0.123076923
48,0.362831858,0.116438356,0.52,0.047945205,0.168614357,0.154929577,0.109540636,0.501468429,0.401574803,0.149700599,0.169230769
49,0.159292035,0.191780822,0.23,0.047945205,0.09015025,0.056338028,0.021201413,0.420704846,0.472440945,0.137724551,0.123076923
50,0.088495575,0.130136986,0.37,0.034246575,0.103505843,0.154929577,0.318021201,0.39133627,0.456692913,0.149700599,0.123076923
51,0.371681416,0.369863014,0.26,0.054794521,0.103505843,0.042253521,0.060070671,0.516152717,0.322834646,0.245508982,0.123076923
52,0.17699115,0.273972603,0.04,0.089041096,0.095158598,0.098591549,0.03180212,0.406020558,0.519685039,0.179640719,0.153846154
53,0.17699115,0.260273973,0.04,0.082191781,0.093489149,0.070422535,0.028268551,0.398678414,0.511811024,0.185628743,0.153846154
54,0.353982301,0.178082192,0.36,0.143835616,0.115191987,0.408450704,0.399293286,0.508810573,0.362204724,0.137724551,0.153846154
55,0.265486726,0.267123288,0.15,0.130136986,0.16360601,0.450704225,0.236749117,0.398678414,0.338582677,0.179640719,0.276923077
56,0.274336283,0.342465753,0.04,0.198630137,0.120200334,0.338028169,0.137809187,0.567547724,0.472440945,0.119760479,0.169230769
57,0.495575221,0.205479452,0.57,0.171232877,0.096828047,0.042253521,0.014134276,0.516152717,0.236220472,0.179640719,0.184615385
58,0.256637168,0.349315068,0.12,0.287671233,0.165275459,0.690140845,0.367491166,0.604258443,0.409448819,0.263473054,0.153846154
59,0.283185841,0.321917808,0.18,0.095890411,0.106844741,0.225352113,0.169611307,0.545521292,0.543307087,0.155688623,0.246153846
60,0.238938053,0.184931507,0.31,0.102739726,0.103505843,0.112676056,0.141342756,0.450073421,0.527559055,0.125748503,0.153846154
61,0.371681416,0.191780822,0.4,0.089041096,0.111853088,0.253521127,0.16254417,0.582232012,0.551181102,0.185628743,0.123076923
62,0.274336283,0.390410959,0.49,0.061643836,0.171953255,0.267605634,0.374558304,0.494126285,0.37007874,0.22754491,0.138461538
63,0.256637168,0.273972603,0.16,0.068493151,0.121869783,0.154929577,0.102473498,0.494126285,0.503937008,0.173652695,0.169230769
64,0.212389381,0.421232877,0.05,0.075342466,0.115191987,0.169014085,0.169611307,0.479441997,0.511811024,0.143712575,0.215384615
65,0.230088496,0.414383562,0.05,0.256849315,0.123539232,0.042253521,0.017667845,0.450073421,0.527559055,0.035928144,0.384615385
66,0.230088496,0.414383562,0.05,0.256849315,0.123539232,0.042253521,0.017667845,0.450073421,0.527559055,0.035928144,0.384615385
67,0.256637168,0.273972603,0.11,0.04109589,0.111853088,0.14084507,0.116607774,0.494126285,0.535433071,0.149700599,0.184615385
68,0.17699115,0.400684932,0.07,0.047945205,0.106844741,0.070422535,0.03180212,0.450073421,0.551181102,0.149700599,0.353846154
69,0.415929204,0.136986301,0.57,0.075342466,0.103505843,0.366197183,0.208480565,0.501468429,0.42519685,0.275449102,0.353846154
70,0.300884956,0.400684932,0.05,0.068493151,0.103505843,0.098591549,0.045936396,0.450073421,0.472440945,0.371257485,0.323076923
71,0.274336283,0.349315068,0.08,0.068493151,0.106844741,0.197183099,0.074204947,0.486784141,0.456692913,0.125748503,0.169230769
72,0.274336283,0.376712329,0.23,0.082191781,0.12687813,0.225352113,0.318021201,0.450073421,0.456692913,0.089820359,0.169230769
73,0.274336283,0.390410959,0.22,0.068493151,0.120200334,0.23943662,0.310954064,0.442731278,0.448818898,0.089820359,0.169230769
74,0.327433628,0.380136986,0.26,0.082191781,0.120200334,0.14084507,0.130742049,0.552863436,0.448818898,0.119760479,0.123076923
75,0.451327434,0.136986301,0.54,0.109589041,0.136894825,0.38028169,0.272084806,0.611600587,0.42519685,0.293413174,0.184615385
76,0.371681416,0.198630137,0.64,0.089041096,0.135225376,0.112676056,0.127208481,0.626284875,0.62992126,0.19760479,0.323076923
77,0.371681416,0.198630137,0.64,0.089041096,0.135225376,0.112676056,0.127208481,0.626284875,0.62992126,0.19760479,0.323076923
78,0.194690265,0.455479452,0,0.102739726,0.153589316,0.183098592,0.084805654,0.479441997,0.614173228,0.131736527,0.353846154
79,0.185840708,0.431506849,0.12,0.075342466,0.123539232,0.154929577,0.261484099,0.420704846,0.503937008,0.113772455,0.261538462
80,0.327433628,0.345890411,0.2,0.04109589,0.113522538,0.366197183,0.399293286,0.52349486,0.330708661,0.473053892,0.107692308
81,0.14159292,0.226027397,0.2,0.047945205,0.095158598,0.028169014,0.03180212,0.420704846,0.527559055,0.137724551,0.123076923
82,0.283185841,0.212328767,0.7,0.068493151,0.754590985,0.295774648,0.215547703,0.538179148,0.307086614,0.568862275,0.153846154
83,0.247787611,0.260273973,0.47,0.075342466,0.123539232,0.281690141,0.236749117,0.508810573,0.488188976,0.143712575,0.107692308
84,0.238938053,0.376712329,0.26,0.061643836,0.649415693,0.211267606,0.159010601,0.501468429,0.330708661,0.48502994,0.153846154
85,0.150442478,0.123287671,0.48,0.061643836,0.095158598,0.23943662,0.19434629,0.42804699,0.551181102,0.269461078,0.292307692
86,0.203539823,0.294520548,0.15,0.089041096,0.106844741,0.253521127,0.120141343,0.442731278,0.527559055,0.155688623,0.261538462
87,0.353982301,0.253424658,0.28,0.068493151,0.16360601,0.267605634,0.459363958,0.52349486,0.149606299,0.97005988,0.230769231
88,0.274336283,0.253424658,0.26,0.068493151,0.083472454,0.112676056,0.088339223,0.479441997,0.511811024,0.185628743,0.184615385
89,0.415929204,0.184931507,0.44,0.082191781,0.158597663,0.464788732,0.4204947,0.567547724,0.31496063,0.532934132,0.169230769
90,0.212389381,0.342465753,0.08,0.061643836,0.106844741,0.098591549,0.06360424,0.567547724,0.582677165,0.119760479,0.092307692
91,0.292035398,0.273972603,0.26,0.068493151,0.111853088,0.577464789,0.473498233,0.464757709,0.385826772,0.125748503,0.169230769
92,0.353982301,0.253424658,0.28,0.068493151,0.16360601,0.267605634,0.459363958,0.52349486,0.149606299,0.97005988,0.230769231
93,0.353982301,0.253424658,0.29,0.075342466,0.16360601,0.253521127,0.448763251,0.52349486,0.149606299,0.988023952,0.215384615
94,0.274336283,0.253424658,0.26,0.068493151,0.083472454,0.112676056,0.088339223,0.479441997,0.511811024,0.185628743,0.184615385
95,0.03539823,0.616438356,0.04,0.034246575,0.05509182,0.563380282,0.279151943,0.273861968,0.795275591,0.089820359,0.323076923
96,0.008849558,0.328767123,0.17,0.095890411,0.076794658,0.225352113,0.35335689,0.229809104,0.874015748,0.161676647,0.692307692
97,0.194690265,0.448630137,0,0.143835616,0.150250417,0.098591549,0.060070671,0.472099853,0.559055118,0.137724551,0.353846154
98,0.212389381,0.260273973,0.25,0.075342466,0.096828047,0.028169014,0.056537102,0.457415565,0.401574803,0.179640719,0.123076923
99,0.265486726,0.534246575,0.06,0.109589041,0.111853088,0.056338028,0.014134276,0.486784141,0.511811024,0.137724551,0.215384615
100,0.309734513,0.29109589,0.18,0.068493151,0.113522538,0.169014085,0.102473498,0.52349486,0.440944882,0.155688623,0.092307692
101,0.327433628,0.335616438,0.3,0.082191781,0.120200334,0.14084507,0.155477032,0.52349486,0.519685039,0.167664671,0.276923077
102,0.283185841,0.260273973,0.3,0.068493151,0.105175292,0.098591549,0.056537102,0.42804699,0.448818898,0.137724551,0.307692308
103,0.309734513,0.29109589,0.18,0.068493151,0.113522538,0.169014085,0.102473498,0.52349486,0.440944882,0.155688623,0.092307692
104,0.309734513,0.311643836,0.22,0.082191781,0.10851419,0.154929577,0.208480565,0.486784141,0.433070866,0.107784431,0.123076923
105,0.230088496,0.253424658,0.24,0.089041096,0.096828047,0.056338028,0.106007067,0.435389134,0.464566929,0.089820359,0.153846154
106,0.309734513,0.311643836,0.22,0.082191781,0.10851419,0.154929577,0.208480565,0.486784141,0.433070866,0.107784431,0.123076923
107,0.283185841,0.198630137,0.68,0.054794521,0.759599332,0.23943662,0.222614841,0.530837004,0.267716535,0.586826347,0.138461538
108,0.14159292,0.349315068,0.31,0.054794521,0.12687813,0.197183099,0.204946996,0.501468429,0.566929134,0.275449102,0.138461538
109,0.300884956,0.143835616,0.53,0.109589041,0.131886477,0.23943662,0.261484099,0.552863436,0.496062992,0.281437126,0.184615385
110,0.309734513,0.455479452,0.52,0.075342466,0.183639399,0.507042254,0.519434629,0.501468429,0.37007874,0.215568862,0.138461538
111,0.283185841,0.301369863,0.19,0.061643836,0.153589316,0.154929577,0.144876325,0.464757709,0.354330709,0.359281437,0.169230769
112,0.336283186,0.342465753,0.09,0.089041096,0.120200334,0.14084507,0.360424028,0.464757709,0.322834646,0.19760479,0.215384615
113,0.336283186,0.328767123,0.1,0.089041096,0.121869783,0.183098592,0.371024735,0.464757709,0.322834646,0.19760479,0.215384615
114,0.486725664,0.130136986,0.44,0.095890411,0.113522538,0.295774648,0.141342756,0.640969163,0.456692913,0.203592814,0.2
115,0.283185841,0.301369863,0.19,0.061643836,0.153589316,0.154929577,0.144876325,0.464757709,0.354330709,0.359281437,0.169230769
116,0.424778761,0.191780822,0.31,0.089041096,0.130217028,0.169014085,0.197879859,0.479441997,0.25984252,0.179640719,0.323076923
117,0.327433628,0.287671233,0.28,0.068493151,0.10851419,0.14084507,0.120141343,0.567547724,0.511811024,0.167664671,0.246153846
118,0.283185841,0.301369863,0.12,0.075342466,0.116861436,0.084507042,0.077738516,0.508810573,0.496062992,0.101796407,0.153846154
119,0.371681416,0.294520548,0.04,0.089041096,0.178631052,0.183098592,0.176678445,0.450073421,0.37007874,0.161676647,0.384615385
120,0.212389381,0.390410959,0.08,0.061643836,0.141903172,0.295774648,0.293286219,0.42804699,0.472440945,0.125748503,0.123076923
121,0.238938053,0.650684932,0.09,0.054794521,0.277128548,0.126760563,0.293286219,0.450073421,0.440944882,0.143712575,0.092307692
122,0.371681416,0.294520548,0.04,0.089041096,0.178631052,0.183098592,0.176678445,0.450073421,0.37007874,0.161676647,0.384615385
123,0.238938053,0.393835616,0,0.109589041,0.105175292,0.028169014,0.024734982,0.582232012,0.590551181,0.113772455,0.123076923
124,0.300884956,0.404109589,0,0.116438356,0.113522538,0.14084507,0.098939929,0.552863436,0.551181102,0.119760479,0.169230769
125,0.283185841,0.260273973,0.17,0.047945205,0.116861436,0.281690141,0.339222615,0.435389134,0.511811024,0.089820359,0.169230769
126,0.389380531,0.342465753,0.04,0.068493151,0.223706177,0.366197183,0.296819788,0.611600587,0.330708661,0.221556886,0.153846154
127,0.318584071,0.828767123,0,0.054794521,0.115191987,0.028169014,0.021201413,0.464757709,0.622047244,0.095808383,0.384615385
128,0.309734513,0.828767123,0,0.061643836,0.116861436,0.028169014,0.021201413,0.464757709,0.62992126,0.089820359,0.384615385
129,0.300884956,0.321917808,0.16,0.061643836,0.088480801,0.028169014,0.035335689,0.450073421,0.535433071,0.353293413,0.323076923
130,0.132743363,0.178082192,0.15,0.061643836,0.100166945,0.070422535,0.045936396,0.398678414,0.535433071,0.143712575,0.153846154
131,0.300884956,0.428082192,0.56,0.075342466,0.176961603,0.408450704,0.45229682,0.494126285,0.393700787,0.19760479,0.153846154
132,0.088495575,0.260273973,0.09,0.095890411,0.061769616,0.225352113,0.328621908,0.266519824,0.700787402,0.179640719,0.707692308
133,0.088495575,0.260273973,0.09,0.095890411,0.061769616,0.225352113,0.328621908,0.266519824,0.700787402,0.179640719,0.707692308
134,0.17699115,0.260273973,0.01,0.04109589,0.080133556,0.225352113,0.070671378,0.376651982,0.519685039,0.149700599,0.215384615
135,0.292035398,0.630136986,0.05,0.089041096,0.120200334,0.169014085,0.081272085,0.42804699,0.377952756,0.131736527,0.230769231
136,0.336283186,0.428082192,0.11,0.068493151,0.130217028,0.211267606,0.201413428,0.472099853,0.354330709,0.293413174,0.184615385
137,0.327433628,0.407534247,0.15,0.061643836,0.128547579,0.126760563,0.16254417,0.494126285,0.385826772,0.263473054,0.169230769
138,0.230088496,0.202054795,0.36,0.075342466,0.115191987,0.169014085,0.137809187,0.52349486,0.582677165,0.185628743,0.123076923
139,0.283185841,0.301369863,0.19,0.082191781,0.115191987,0.197183099,0.349823322,0.450073421,0.464566929,0.125748503,0.169230769
140,0.283185841,0.301369863,0.19,0.075342466,0.115191987,0.225352113,0.360424028,0.450073421,0.456692913,0.125748503,0.169230769
141,0.336283186,0.428082192,0.11,0.068493151,0.130217028,0.211267606,0.201413428,0.472099853,0.354330709,0.293413174,0.184615385
142,0.327433628,0.407534247,0.15,0.061643836,0.128547579,0.126760563,0.16254417,0.494126285,0.385826772,0.263473054,0.169230769
143,0.053097345,0.150684932,0,0.061643836,0.063439065,0.366197183,0.201413428,0.112334802,0.74015748,0.275449102,0.861538462
144,0.150442478,0.184931507,0.08,0.054794521,0.09015025,0.028169014,0.049469965,0.39133627,0.472440945,0.149700599,0.153846154
145,0.053097345,0.150684932,0,0.061643836,0.063439065,0.366197183,0.201413428,0.112334802,0.74015748,0.275449102,0.861538462
146,0.309734513,0.376712329,0.55,0.061643836,0.175292154,0.436619718,0.477031802,0.494126285,0.338582677,0.173652695,0.153846154
147,0.10619469,0.383561644,0.02,0.061643836,0.125208681,0.281690141,0.310954064,0.317914831,0.62992126,0.113772455,0.246153846
148,0.265486726,0.253424658,0.26,0.047945205,0.373956594,0.126760563,0.28975265,0.494126285,0.291338583,0.281437126,0.138461538
149,0.203539823,0.253424658,0.1,0.095890411,0.103505843,0.154929577,0.084805654,0.42804699,0.535433071,0.149700599,0.276923077
150,0.318584071,0.191780822,0.44,0.130136986,0.128547579,0.14084507,0.130742049,0.545521292,0.622047244,0.167664671,0.323076923
151,0.238938053,0.143835616,0.47,0.082191781,0.10851419,0.056338028,0.017667845,0.420704846,0.464566929,0.119760479,0.292307692
152,0.407079646,0.273972603,1,0.171232877,0.998330551,0.436619718,0.222614841,0.699706314,0,1,0.153846154
153,0.256637168,0.328767123,0.03,0.061643836,0.138564274,0.338028169,0.328621908,0.361967695,0.480314961,0.125748503,0.261538462
154,0.256637168,0.328767123,0.03,0.061643836,0.138564274,0.338028169,0.328621908,0.361967695,0.480314961,0.125748503,0.261538462
155,0.221238938,0.212328767,0.42,0.315068493,0.096828047,0.394366197,0.434628975,0.530837004,0.535433071,0.233532934,0.323076923
156,0.221238938,0.212328767,0.42,0.315068493,0.098497496,0.38028169,0.431095406,0.530837004,0.535433071,0.22754491,0.323076923
157,0.221238938,0.212328767,0.42,0.315068493,0.096828047,0.394366197,0.434628975,0.530837004,0.535433071,0.233532934,0.323076923
158,0.221238938,0.212328767,0.42,0.315068493,0.098497496,0.38028169,0.431095406,0.530837004,0.535433071,0.22754491,0.323076923
159,0.221238938,0.383561644,0,0.089041096,0.101836394,0.154929577,0.056537102,0.501468429,0.582677165,0.101796407,0.138461538
160,0.194690265,0.328767123,0.18,0.068493151,0.111853088,0.23943662,0.282685512,0.494126285,0.669291339,0.143712575,0.138461538
161,0.265486726,0.568493151,0.03,0.075342466,0.130217028,0.084507042,0.049469965,0.42804699,0.362204724,0.137724551,0.184615385
162,0.265486726,0.383561644,0.02,0.02739726,0.100166945,0.112676056,0.049469965,0.472099853,0.338582677,0.449101796,0.123076923
163,0.283185841,0.280821918,0.04,0.054794521,0.106844741,0.225352113,0.088339223,0.464757709,0.464566929,0.137724551,0.246153846
164,0.247787611,0.328767123,0.26,0.438356164,0.096828047,0.492957746,0.406360424,0.5969163,0.496062992,0.095808383,0.153846154
165,0.238938053,0.321917808,0.26,0.431506849,0.096828047,0.478873239,0.406360424,0.589574156,0.496062992,0.095808383,0.153846154
166,0.283185841,0.349315068,0.48,0.054794521,0.146911519,0.183098592,0.318021201,0.442731278,0.354330709,0.173652695,0.169230769
167,0.194690265,0.356164384,0.1,0.082191781,0.121869783,0.23943662,0.335689046,0.406020558,0.472440945,0.113772455,0.276923077
168,0.238938053,0.294520548,0.03,0.047945205,0.100166945,0.225352113,0.127208481,0.406020558,0.496062992,0.089820359,0.092307692
169,0.194690265,0.349315068,0.07,0.082191781,0.128547579,0.14084507,0.134275618,0.383994126,0.57480315,0.131736527,0.307692308
170,0.256637168,0.400684932,0.24,0.061643836,0.58096828,0.197183099,0.201413428,0.464757709,0.204724409,0.754491018,0.169230769
171,0.292035398,0.523972603,0.03,0.061643836,0.076794658,0.042253521,0.007067138,0.52349486,0.488188976,0,0.107692308
172,0.300884956,0.205479452,0.17,0.075342466,0.101836394,0.070422535,0.042402827,0.52349486,0.433070866,0.167664671,0.123076923
173,0.300884956,0.205479452,0.17,0.075342466,0.101836394,0.070422535,0.042402827,0.52349486,0.433070866,0.167664671,0.123076923
174,0.247787611,0.342465753,0.05,0.068493151,0.093489149,0.323943662,0.127208481,0.442731278,0.535433071,0.143712575,0.476923077
175,0.238938053,0.178082192,0.21,0.075342466,0.113522538,0.084507042,0.102473498,0.442731278,0.464566929,0.083832335,0.169230769
176,0.203539823,0.260273973,0.04,0.04109589,0.121869783,0.253521127,0.151943463,0.420704846,0.480314961,0.269461078,0.169230769
177,0.238938053,0.178082192,0.21,0.075342466,0.113522538,0.084507042,0.102473498,0.442731278,0.464566929,0.083832335,0.169230769
178,0.256637168,0.273972603,0.42,0.095890411,0.125208681,0.098591549,0.113074205,0.52349486,0.661417323,0.167664671,0.323076923
179,0.212389381,0.469178082,0,0.109589041,0.093489149,0.084507042,0.049469965,0.501468429,0.582677165,0.137724551,0.184615385
180,0.371681416,0.335616438,0.14,0.102739726,0.091819699,0.126760563,0.127208481,0.501468429,0.354330709,0.155688623,0.169230769
181,0.371681416,0.335616438,0.14,0.102739726,0.091819699,0.126760563,0.127208481,0.501468429,0.354330709,0.155688623,0.169230769
182,0.380530973,0.335616438,0.49,0.075342466,0.430717863,0.309859155,0.367491166,0.52349486,0.299212598,0.413173653,0.138461538
183,0.230088496,0.417808219,0.02,0.109589041,0.106844741,0.211267606,0.127208481,0.52349486,0.551181102,0.113772455,0.138461538
184,0.194690265,0.335616438,0.2,0.061643836,0.10851419,0.14084507,0.208480565,0.516152717,0.62992126,0.149700599,0.138461538
185,0.185840708,0.342465753,0.21,0.068493151,0.111853088,0.098591549,0.197879859,0.508810573,0.614173228,0.149700599,0.138461538
186,0.380530973,0.130136986,0.57,0.075342466,0.165275459,0.352112676,0.279151943,0.516152717,0.409448819,0.119760479,0.2
187,0.247787611,0.184931507,0.48,0.075342466,0.116861436,0.183098592,0.215547703,0.52349486,0.472440945,0.131736527,0.123076923
188,0.274336283,0.400684932,0.1,0.116438356,0.120200334,0.112676056,0.070671378,0.552863436,0.511811024,0.095808383,0.2
189,0.292035398,0.260273973,0.33,0.075342466,0.120200334,0.197183099,0.48409894,0.494126285,0.362204724,0.131736527,0.169230769
190,0.292035398,0.253424658,0.32,0.068493151,0.116861436,0.225352113,0.487632509,0.494126285,0.362204724,0.131736527,0.169230769
191,0.318584071,0.260273973,0.35,0.136986301,0.10851419,0.281690141,0.427561837,0.552863436,0.385826772,0.173652695,0.153846154
192,0.159292035,0.171232877,0.25,0.068493151,0.103505843,0.281690141,0.151943463,0.538179148,0.653543307,0.173652695,0.215384615
193,0.194690265,0.349315068,0.12,0.198630137,0.14524207,0.211267606,0.424028269,0.501468429,0.42519685,0.167664671,0.169230769
194,0.265486726,0.294520548,0.21,0.089041096,0.098497496,0.084507042,0.077738516,0.464757709,0.42519685,0.131736527,0.2
195,0.265486726,0.294520548,0.21,0.089041096,0.098497496,0.084507042,0.077738516,0.464757709,0.42519685,0.131736527,0.2
196,0.283185841,0.321917808,0.33,0.075342466,0.103505843,0.323943662,0.402826855,0.494126285,0.401574803,0.125748503,0.153846154
197,0.238938053,0.315068493,0.3,0.102739726,0.103505843,0.197183099,0.173144876,0.494126285,0.566929134,0.155688623,0.276923077
198,0.610619469,0.123287671,0.6,0.075342466,0.091819699,0.154929577,0.074204947,0.589574156,0.291338583,0.383233533,0.261538462
199,0.07079646,0.489726027,0.08,0.020547945,0.056761269,0.169014085,0.307420495,0.171071953,0.653543307,0.311377246,0.707692308
200,0.203539823,0.664383562,0.06,0.082191781,0.081803005,0.154929577,0.088339223,0.347283407,0.606299213,0.05988024,0.461538462
201,0.442477876,0.136986301,0.47,0.034246575,0.07345576,0.112676056,0.06360424,0.505139501,0.377952756,0.293413174,0.292307692
202,0.371681416,0.171232877,0.48,0.082191781,0.141903172,0.535211268,0.491166078,0.545521292,0.236220472,0.419161677,0.138461538
203,0.194690265,0.260273973,0.11,0.04109589,0.105175292,0.211267606,0.151943463,0.395007342,0.488188976,0.275449102,0.169230769
204,0.212389381,0.205479452,0.35,0.047945205,0.12687813,0.211267606,0.116607774,0.442731278,0.472440945,0.131736527,0.123076923
205,0.212389381,0.212328767,0.36,0.047945205,0.128547579,0.183098592,0.109540636,0.446402349,0.472440945,0.137724551,0.123076923
206,0.725663717,0.123287671,0.74,0.116438356,0.138564274,0.112676056,0.077738516,0.685022026,0.362204724,0.263473054,0.369230769
207,0.725663717,0.123287671,0.74,0.116438356,0.138564274,0.112676056,0.077738516,0.685022026,0.362204724,0.263473054,0.369230769
208,0.283185841,0.308219178,0.31,0.061643836,0.095158598,0.352112676,0.402826855,0.453744493,0.433070866,0.119760479,0.138461538
209,0.283185841,0.219178082,0.28,0.123287671,0.146911519,0.23943662,0.314487633,0.479441997,0.377952756,0.203592814,0.153846154
210,0.566371681,0.123287671,0.58,0.082191781,0.070116861,0.084507042,0.045936396,0.582232012,0.448818898,0.329341317,0.323076923
211,0.451327434,0.280821918,0.6,0.075342466,0.045075125,0.056338028,0.045936396,0.424375918,0.440944882,0.317365269,0.615384615
